id,action block 1,context,simplified sentence 1,partial start time 1,owner 1,original action 1,most similar action 1,speed 1,duration 1,rotation 1,translation 1,target 1,prop 1,location modifier 1,direction modifier 1,manner 1,emotion 1,Action Block 2,simplified sentence 2,partial start time 2,owner 2,original action 2,most similar action 2,speed 2,duration 2,rotation 2,translation 2,target 2,prop 2,location modifier 2,direction modifier 2,manner 2,emotion 2,Action Block 3,simplified sentence 3,partial start time 3,owner 3,original action 3,most similar action 3,speed 3,duration 3,rotation 3,translation 3,target 3,prop 3,location modifier 3,direction modifier 3,manner 3,emotion 3,Action Block 4,simplified sentence 4,partial start time 4,owner 4,original action 4,most similar action 4,speed 4,duration 4,rotation 4,translation 4,target 4,prop 4,location modifier 4,direction modifier 4,manner 4,emotion 4,Action Block 5,simplified sentence 5,partial start time 5,owner 5,original action 5,most similar action 5,speed 5,duration 5,rotation 5,translation 5,target 5,prop 5,location modifier 5,direction modifier 5,manner 5,emotion 5,Action Block 6,simplified sentence 6,partial start time 6,owner 6,original action 6,most similar action 6,speed 6,duration 6,rotation 6,translation 6,target 6,prop 6,location modifier 6,direction modifier 6,manner 6,emotion 6,Action Block 7,simplified sentence 7,partial start time 7,owner 7,original action 7,most similar action 7,speed 7,duration 7,rotation 7,translation 7,target 7,prop 7,location modifier 7,direction modifier 7,manner 7,emotion 7,Action Block 8,simplified sentence 8,partial start time 8,owner 8,original action 8,most similar action 8,speed 8,duration 8,rotation 8,translation 8,target 8,prop 8,location modifier 8,direction modifier 8,manner 8,emotion 8,Action Block 9,simplified sentence 9,partial start time 9,owner 9,original action 9,most similar action 9,speed 9,duration 9,rotation 9,translation 9,target 9,prop 9,location modifier 9,direction modifier 9,manner 9,emotion 9,Action Block 10,simplified sentence 10,partial start time 10,owner 10,original action 10,most similar action 10,speed 10,duration 10,rotation 10,translation 10,target 10,prop 10,location modifier 10,direction modifier 10,manner 10,emotion 10,Action Block 11,simplified sentence 11,partial start time 11,owner 11,original action 11,most similar action 11,speed 11,duration 11,rotation 11,translation 11,target 11,prop 11,location modifier 11,direction modifier 11,manner 11,emotion 11,Action Block 12,simplified sentence 12,partial start time 12,owner 12,original action 12,most similar action 12,speed 12,duration 12,rotation 12,translation 12,target 12,prop 12,location modifier 12,direction modifier 12,manner 12,emotion 12
70,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.","HAMM
	Yeah, alright!!",Hamm gives Potato Head a congratulatory pat on the back.,0,Hamm,gives,touch,neutral,short,Yes,No,Potato Head,,,on his back,,congratulatory,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",Hamm sends Potato Head's facial features flying.,1,Hamm,sends,hit,fast ,short,Yes,No,facial features,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,
71,Mrs. Davis can be seen opening the closet and pulling out another large present.,ANGLE: BINOCULAR VIEW OF LIVING ROOM,Mrs.Davis is opening the closet.,0,Mrs. DAvis,opening,open,neutral,short,Yes,No,closet,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,Mrs. DAvis is pulling out another large present.,1,Mrs. Davis,pulling,push,slow,neutral,Yes,No,present,,,,large,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,
72,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.","SARGENT (O.S.)
continued
	Mom has pulled a surprise present from the closet. Andy's opening it...
			INT. DOWNSTAIRS - HOUSE PLANT - CONTINUOUS
		SARGENT
	He's really excited about this one. It's a huge package. Oh get out one of the kids is in the way, I can't see...
			INT. ANDY'S BEDROOM - CONTINUOUS
		SARGENT (O.S.)
from monitor
	...it's...it's a",The children cheer over the monitor.,0,children,cheer,cheer,neutral,neutral,Yes,No,monitor,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",The sound of children cheering cuts off the Sargent.,1,sound,cut off,shout,neutral,neutral,No,No,Sargent,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,
73,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,"REX
	Oh, no!
		MR. POTATO HEAD
	Oh, ya big lizard! Now we'll never know what it is!
		HAMM
sarcastic
	Way to go, Rex.",Everyone rushes to the fallen monitor.,0,everyone,rushes,go,fast ,short,Yes,Yes,monitor,,,,fallen,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,Potato Head tries to correctly insert the batteries.,1,Potato Head,insert,push,neutral,neutral,Yes,No,batteries,,,,correctly,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,
74,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,"WOODY
	No, no! Turn 'em around, turn 'em around!
		HAMM
	Eh, he's puttin' 'em in backwards!
		WOODY
	Plus is positive, minus is negative! Oh, let me!",Woody jumps down off the bed.,0,Woody,jumps,jump,fast ,short,Yes,Yes,bed,,,off,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,Woody shoves Hamm aside.,1,Woody,shoves,push,fast ,short,Yes,No,Hamm,,,aside,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,Woody pushes Potato Head aside.,1,Woody,pushes,push,fast ,short,Yes,No,Potato Head,,,aside,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,
75,The kids rush past the houseplant.,"INT. LIVING ROOM
		ANDY
	Let's go to my room, guys!",The kids rush past the houseplant.,0,kids,rush,go,fast ,short,Yes,Yes,houseplant,,,past,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,
76,Woody crawls out from under the bed. The toys are shocked to discover him there.,"MR. POTATO HEAD
	What is it?
		BO PEEP
	Can you see it?
		SLINKY
	What the heck is up there?
		REX
	Woody? Who's up there with you?",Woody crawls out from under the bed.,0,Woody,crawls,crawl,neutral,neutral,Yes,Yes,bed,,,under,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,The toys are shocked to discover Woody there.,1,toys,discover,lookDown,neutral,neutral,Yes,No,Woody,,,,shocked,shocked,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,
77,The toys give each other a look of doubt.,"SLINKY
	Woody, what are you doing under the bed?
		WOODY
composing himself
	Uh-h-h-h...nothing! Uh, nothing. I'm sure Andy was just a little excited, that's all. Too much cake and ice cream, I suppose. It's just a mistake.
		MR. POTATO HEAD
	Well, that MISTAKE is sitting in your spot, Woody.
		REX
GASP!
	Have you been replaced?
		WOODY
	Hey! What did I tell you earlier? No one is getting replaced.",The toys give each other a look of doubt.,0,toys,give,give,neutral,neutral,Yes,No,look,,,,doubt,doubt,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,
78,Nothing. He pushes the button again.,"SFX: ELECTRONIC BEEP
		BUZZ
	Buzz Lightyear to Star Command. Come in, Star Command.",Buzz pushes the button again.,0,buzz,pushes,push,neutral,neutral,Yes,No,button,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,
79,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.","BUZZ
	Star Command - come in. Do you read me?
to himself
	Why don't they answer?!!",Buzz sees his ripped packaged.,0,buzz,sees,look,neutral,neutral,No,No,packaging,,,,ripped,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",The box is designed to look like a spaceship.,0,box,designed,look,neutral,,No,No,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,
80,"Buzz jumps back, taking a fighting stance. He presses a button on his arm that turns on a red 'laser beam' light on his wrist. Buzz aims the red beam on Woody's forehead and holds it there.","WOODY
	Hello-o-o...
		BUZZ
	HO-YAAAHH!!!",Buzz jumps back in a fighting stance.,0,Buzz,jumps,jump,fast ,short,Yes,Yes,,,,back,in a fighting stance,,"Buzz jumps back, taking a fighting stance. He presses a button on his arm that turns on a red 'laser beam' light on his wrist. Buzz aims the red beam on Woody's forehead and holds it there.",Buzz presses a button on his arm.,1,Buzz,presses,push,fast ,short,Yes,No,button,,on his arm,,,,"Buzz jumps back, taking a fighting stance. He presses a button on his arm that turns on a red 'laser beam' light on his wrist. Buzz aims the red beam on Woody's forehead and holds it there.",The button turns on a red laser beam light on his wrist.,2,button,turns on,touch,neutral,neutral,No,No,laser beam light,,on his wrist,,,,"Buzz jumps back, taking a fighting stance. He presses a button on his arm that turns on a red 'laser beam' light on his wrist. Buzz aims the red beam on Woody's forehead and holds it there.",Buzz aims the red beam on Woody's forehead.,3,Buzz,aims,point,neutral,neutral,Yes,No,beam,Woody's forehead,,,,,"Buzz jumps back, taking a fighting stance. He presses a button on his arm that turns on a red 'laser beam' light on his wrist. Buzz aims the red beam on Woody's forehead and holds it there.",,,,,,,,,,,,,,,,"Buzz jumps back, taking a fighting stance. He presses a button on his arm that turns on a red 'laser beam' light on his wrist. Buzz aims the red beam on Woody's forehead and holds it there.",,,,,,,,,,,,,,,,"Buzz jumps back, taking a fighting stance. He presses a button on his arm that turns on a red 'laser beam' light on his wrist. Buzz aims the red beam on Woody's forehead and holds it there.",,,,,,,,,,,,,,,,"Buzz jumps back, taking a fighting stance. He presses a button on his arm that turns on a red 'laser beam' light on his wrist. Buzz aims the red beam on Woody's forehead and holds it there.",,,,,,,,,,,,,,,,"Buzz jumps back, taking a fighting stance. He presses a button on his arm that turns on a red 'laser beam' light on his wrist. Buzz aims the red beam on Woody's forehead and holds it there.",,,,,,,,,,,,,,,,"Buzz jumps back, taking a fighting stance. He presses a button on his arm that turns on a red 'laser beam' light on his wrist. Buzz aims the red beam on Woody's forehead and holds it there.",,,,,,,,,,,,,,,,"Buzz jumps back, taking a fighting stance. He presses a button on his arm that turns on a red 'laser beam' light on his wrist. Buzz aims the red beam on Woody's forehead and holds it there.",,,,,,,,,,,,,,,,"Buzz jumps back, taking a fighting stance. He presses a button on his arm that turns on a red 'laser beam' light on his wrist. Buzz aims the red beam on Woody's forehead and holds it there.",,,,,,,,,,,,,,,
81,"There is a cartoon drawing of Buzz giving the exact, word- for-word spiel that Buzz is now giving.",ANGLE: BACK OF BUZZ'S BOX,The cartoon drawing of Buzz is giving the same speech.,0,drawing,giving,read,neutral,long,No,No,speech,,,,,,"There is a cartoon drawing of Buzz giving the exact, word- for-word spiel that Buzz is now giving.",Buzz is giving a speech.,1,buzz,giving,talk,neutral,neutral,Yes,No,speech,,,,,,"There is a cartoon drawing of Buzz giving the exact, word- for-word spiel that Buzz is now giving.",,,,,,,,,,,,,,,,"There is a cartoon drawing of Buzz giving the exact, word- for-word spiel that Buzz is now giving.",,,,,,,,,,,,,,,,"There is a cartoon drawing of Buzz giving the exact, word- for-word spiel that Buzz is now giving.",,,,,,,,,,,,,,,,"There is a cartoon drawing of Buzz giving the exact, word- for-word spiel that Buzz is now giving.",,,,,,,,,,,,,,,,"There is a cartoon drawing of Buzz giving the exact, word- for-word spiel that Buzz is now giving.",,,,,,,,,,,,,,,,"There is a cartoon drawing of Buzz giving the exact, word- for-word spiel that Buzz is now giving.",,,,,,,,,,,,,,,,"There is a cartoon drawing of Buzz giving the exact, word- for-word spiel that Buzz is now giving.",,,,,,,,,,,,,,,,"There is a cartoon drawing of Buzz giving the exact, word- for-word spiel that Buzz is now giving.",,,,,,,,,,,,,,,,"There is a cartoon drawing of Buzz giving the exact, word- for-word spiel that Buzz is now giving.",,,,,,,,,,,,,,,,"There is a cartoon drawing of Buzz giving the exact, word- for-word spiel that Buzz is now giving.",,,,,,,,,,,,,,,
